pH,Chlorine,Turbidity,Conductivity,Alkalinity,Temperature,Colour,pH
Finish,Free,Finish,Finish,Finish,Finish,Raw T,Raw
7.35,1.82,0.134,48.6,10.0,3.4,40.0,7.35
7.22,1.79,0.138,56.4,10.0,3.7,176.0,7.22
7.34,1.82,0.12,53.6,10.0,3.7,54.0,7.34
7.29,1.7850000000000001,0.14100000000000001,54.2,10.0,3.6500000000000004,74.0,7.29
7.24,1.75,0.162,54.8,10.0,3.6,94.0,7.24
1.73,1.73,0.128,55.1,10.0,3.4,52.0,1.73
4.51,4.795,0.136,56.05,10.0,3.9000000000000004,56.0,4.51
7.29,7.86,0.144,57.0,10.0,4.4,60.0,7.29
7.22,1.69,0.13,55.1,10.0,3.1,64.0,7.22
7.55,1.78,0.136,54.8,10.0,3.0,60.0,7.55
7.41,1.815,0.13,53.4,10.0,3.2,58.5,7.41
7.27,1.85,0.124,52.0,10.0,3.4,57.0,7.27
7.39,1.91,0.194,45.6,10.0,3.7,74.0,7.39
7.28,1.71,0.141,57.2,10.0,3.1,64.0,7.28
7.36,1.92,0.214,59.0,10.0,3.3,26.0,7.36
7.28,1.87,0.165,52.8,10.0,3.4,21.0,7.28
7.01,1.85,0.155,56.4,10.0,3.6,28.0,7.01
7.025,1.81,0.21800000000000003,57.95,10.0,3.4000000000000004,44.5,7.025
7.04,1.77,0.281,59.5,10.0,3.2,61.0,7.04
7.17,1.78,0.107,53.7,10.0,3.9,26.0,7.17
7.1,1.92,0.147,56.8,10.0,3.0,30.0,7.1
7.46,1.74,0.157,59.4,10.0,3.1,20.0,7.46
7.34,1.84,0.124,58.2,10.0,2.9,33.0,7.34
7.23,1.74,0.15,59.0,10.0,3.2,36.0,7.23
7.29,1.615,0.2005,59.4,10.0,3.1500000000000004,42.0,7.29
7.35,1.49,0.251,59.8,10.0,3.1,48.0,7.35
7.4,1.63,0.152,60.0,10.0,2.8,46.0,7.4
7.54,1.62,0.21,57.4,10.0,3.3,39.0,7.54
